score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,14,10,30,32,37,43,3,30,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,15,6,8,30,38,46,2,30,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,16,8,16,20,26,47,22,16,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,17,11,18,25,28,44,22,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,18,8,23,32,35,36,21,35,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,19,1,23,27,37,46,14,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,20,15,23,33,39,43,25,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,18,1,14,24,44,47,21,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,19,3,6,22,31,42,17,,0,yes,Mega only
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,20,5,12,19,39,45,17,5,1,yes,1+Mega
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,18,8,27,28,40,41,7,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,19,3,9,11,35,46,12,35,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,20,2,6,19,25,32,4,,0,no,No prize
