score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,1,8,31,36,45,47,26,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,5,14,29,30,32,35,18,29,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,6,4,8,10,14,38,10,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,2,11,16,29,40,44,25,29,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,3,6,20,27,28,43,4,27 28,2,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,4,1,4,9,13,47,9,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,5,2,15,17,20,34,1,34,1,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,6,1,12,18,30,39,5,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,7,5,6,24,35,46,10,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,7,5,23,26,42,47,4,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,balanced,8,14,15,22,23,31,9,,0,no,No prize
score-2026-07-25-f5ae88020df3c4c0,slp-2026-07-25-v1-765d7003bbcfc8f7,60,slp-robust-fair-coverage-v5,2026-07-25,4102,conservative,8,9,19,20,32,45,20,,0,no,No prize
